TableName|ColumnName|ColumnOrder|DataType
reporting.Fact.Purchase|Purchase_Key|1|bigint
reporting.Fact.Purchase|Date_Key|2|date
reporting.Fact.Purchase|Supplier_Key|3|int
reporting.Fact.Purchase|Stock_Item_Key|4|int
reporting.Fact.Purchase|WWI_Purchase_Order_ID|5|int
reporting.Fact.Purchase|Ordered_Outers|6|int
reporting.Fact.Purchase|Ordered_Quantity|7|int
reporting.Fact.Purchase|Received_Outers|8|int
reporting.Fact.Purchase|Package|9|string
reporting.Fact.Purchase|Is_Order_Finalized|10|boolean
reporting.Fact.Purchase|Lineage_Key|11|int
reporting.Fact.Stock_Holding|Stock_Holding_Key|1|bigint
reporting.Fact.Stock_Holding|Stock_Item_Key|2|int
reporting.Fact.Stock_Holding|Quantity_On_Hand|3|int
reporting.Fact.Stock_Holding|Bin_Location|4|string
reporting.Fact.Stock_Holding|Last_Stocktake_Quantity|5|int
reporting.Fact.Stock_Holding|Last_Cost_Price|6|decimal(18,2)
reporting.Fact.Stock_Holding|Reorder_Level|7|int
reporting.Fact.Stock_Holding|Target_Stock_Level|8|int
reporting.Fact.Stock_Holding|Lineage_Key|9|int
reporting.Fact.Order|Order_Key|1|bigint
reporting.Fact.Order|City_Key|2|int
reporting.Fact.Order|Customer_Key|3|int
reporting.Fact.Order|Stock_Item_Key|4|int
reporting.Fact.Order|Order_Date_Key|5|date
reporting.Fact.Order|Picked_Date_Key|6|date
reporting.Fact.Order|Salesperson_Key|7|int
reporting.Fact.Order|Picker_Key|8|int
reporting.Fact.Order|WWI_Order_ID|9|int
reporting.Fact.Order|WWI_Backorder_ID|10|int
reporting.Fact.Order|Description|11|string
reporting.Fact.Order|Package|12|string
reporting.Fact.Order|Quantity|13|int
reporting.Fact.Order|Unit_Price|14|decimal(18,2)
reporting.Fact.Order|Tax_Rate|15|decimal(18,3)
reporting.Fact.Order|Total_Excluding_Tax|16|decimal(18,2)
reporting.Fact.Order|Tax_Amount|17|decimal(18,2)
reporting.Fact.Order|Total_Including_Tax|18|decimal(18,2)
reporting.Fact.Order|Lineage_Key|19|int
reporting.Fact.Movement|Movement_Key|1|bigint
reporting.Fact.Movement|Date_Key|2|date
reporting.Fact.Movement|Stock_Item_Key|3|int
reporting.Fact.Movement|Customer_Key|4|int
reporting.Fact.Movement|Supplier_Key|5|int
reporting.Fact.Movement|Transaction_Type_Key|6|int
reporting.Fact.Movement|WWI_Stock_Item_Transaction_ID|7|int
reporting.Fact.Movement|WWI_Invoice_ID|8|int
reporting.Fact.Movement|WWI_Purchase_Order_ID|9|int
reporting.Fact.Movement|Quantity|10|int
reporting.Fact.Movement|Lineage_Key|11|int
reporting.Fact.Sale|Sale_Key|1|bigint
reporting.Fact.Sale|City_Key|2|int
reporting.Fact.Sale|Customer_Key|3|int
reporting.Fact.Sale|Bill_To_Customer_Key|4|int
reporting.Fact.Sale|Stock_Item_Key|5|int
reporting.Fact.Sale|Invoice_Date_Key|6|date
reporting.Fact.Sale|Delivery_Date_Key|7|date
reporting.Fact.Sale|Salesperson_Key|8|int
reporting.Fact.Sale|WWI_Invoice_ID|9|int
reporting.Fact.Sale|Description|10|string
reporting.Fact.Sale|Package|11|string
reporting.Fact.Sale|Quantity|12|int
reporting.Fact.Sale|Unit_Price|13|decimal(18,2)
reporting.Fact.Sale|Tax_Rate|14|decimal(18,3)
reporting.Fact.Sale|Total_Excluding_Tax|15|decimal(18,2)
reporting.Fact.Sale|Tax_Amount|16|decimal(18,2)
reporting.Fact.Sale|Profit|17|decimal(18,2)
reporting.Fact.Sale|Total_Including_Tax|18|decimal(18,2)
reporting.Fact.Sale|Total_Dry_Items|19|int
reporting.Fact.Sale|Total_Chiller_Items|20|int
reporting.Fact.Sale|Lineage_Key|21|int
reporting.Dimension.payment_method|Payment_Method_Key|1|int
reporting.Dimension.payment_method|WWI_Payment_Method_ID|2|int
reporting.Dimension.payment_method|Payment_Method|3|string
reporting.Dimension.payment_method|Valid_From|4|timestamp
reporting.Dimension.payment_method|Valid_To|5|timestamp
reporting.Dimension.payment_method|Lineage_Key|6|int
reporting.Dimension.supplier|Supplier_Key|1|int
reporting.Dimension.supplier|WWI_Supplier_ID|2|int
reporting.Dimension.supplier|Supplier|3|string
reporting.Dimension.supplier|Category|4|string
reporting.Dimension.supplier|Primary_Contact|5|string
reporting.Dimension.supplier|Supplier_Reference|6|string
reporting.Dimension.supplier|Payment_Days|7|int
reporting.Dimension.supplier|Postal_Code|8|string
reporting.Dimension.supplier|Valid_From|9|timestamp
reporting.Dimension.supplier|Valid_To|10|timestamp
reporting.Dimension.supplier|Lineage_Key|11|int
reporting.Dimension.city|City_Key|1|int
reporting.Dimension.city|WWI_City_ID|2|int
reporting.Dimension.city|City|3|string
reporting.Dimension.city|State_Province|4|string
reporting.Dimension.city|Country|5|string
reporting.Dimension.city|Continent|6|string
reporting.Dimension.city|Sales_Territory|7|string
reporting.Dimension.city|Region|8|string
reporting.Dimension.city|Subregion|9|string
reporting.Dimension.city|Location|10|binary
reporting.Dimension.city|Latest_Recorded_Population|11|bigint
reporting.Dimension.city|Valid_From|12|timestamp
reporting.Dimension.city|Valid_To|13|timestamp
reporting.Dimension.city|Lineage_Key|14|int
reporting.Dimension.stock_item|Stock_Item_Key|1|int
reporting.Dimension.stock_item|WWI_Stock_Item_ID|2|int
reporting.Dimension.stock_item|Stock_Item|3|string
reporting.Dimension.stock_item|Color|4|string
reporting.Dimension.stock_item|Selling_Package|5|string
reporting.Dimension.stock_item|Buying_Package|6|string
reporting.Dimension.stock_item|Brand|7|string
reporting.Dimension.stock_item|Size|8|string
reporting.Dimension.stock_item|Lead_Time_Days|9|int
reporting.Dimension.stock_item|Quantity_Per_Outer|10|int
reporting.Dimension.stock_item|Is_Chiller_Stock|11|boolean
reporting.Dimension.stock_item|Barcode|12|string
reporting.Dimension.stock_item|Tax_Rate|13|decimal(18,3)
reporting.Dimension.stock_item|Unit_Price|14|decimal(18,2)
reporting.Dimension.stock_item|Recommended_Retail_Price|15|decimal(18,2)
reporting.Dimension.stock_item|Typical_Weight_Per_Unit|16|decimal(18,3)
reporting.Dimension.stock_item|Photo|17|binary
reporting.Dimension.stock_item|Valid_From|18|timestamp
reporting.Dimension.stock_item|Valid_To|19|timestamp
reporting.Dimension.stock_item|Lineage_Key|20|int
reporting.Dimension.customer|Customer_Key|1|int
reporting.Dimension.customer|WWI_Customer_ID|2|int
reporting.Dimension.customer|Customer|3|string
reporting.Dimension.customer|Bill_To_Customer|4|string
reporting.Dimension.customer|Category|5|string
reporting.Dimension.customer|Buying_Group|6|string
reporting.Dimension.customer|Primary_Contact|7|string
reporting.Dimension.customer|Postal_Code|8|string
reporting.Dimension.customer|Valid_From|9|timestamp
reporting.Dimension.customer|Valid_To|10|timestamp
reporting.Dimension.customer|Lineage_Key|11|int
